"species","matched_names","synonym_names","final_names"
"Jacobaea vulgaris Gaertn.","Jacobaea vulgaris","Jacobaea vulgaris","Jacobaea vulgaris"
"Lactuca muralis ","Lactuca muralis","Lactuca muralis",NA
"Lactuca serriola","Lactuca serriola","Lactuca serriola","Lactuca serriola"
"Lapsana communis L.","Lapsana communis","Lapsana communis","Lapsana communis"
"Laserpitium latifolium L.","Laserpitium latifolium","Laserpitium latifolium",NA
"Leontodon autumnalis","Leontodon autumnalis","Leontodon autumnalis","Leontodon autumnalis"
"Leontodon hispidus","Leontodon hispidus","Leontodon hispidus","Leontodon hispidus"
"Leucanthemum  vulgare Lam.","Leucanthemum vulgare","Leucanthemum vulgare","Leucanthemum vulgare"
"Logfia arvensis","Logfia arvensis","Logfia arvensis","Logfia arvensis"
"Maianthemum bifolium","Maianthemum bifolium","Maianthemum bifolium","Maianthemum bifolium"
"Matricaria discoidea DC.","Matricaria discoidea","Matricaria discoidea","Matricaria discoidea"
"Matricaria matricarioides","Matricaria matricarioides","Matricaria matricarioides",NA
"Matricaria recutita L.","Matricaria recutita","Matricaria recutita",NA
"Muscari neglectum","Muscari neglectum","Muscari neglectum","Muscari neglectum"
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Myrrhis odorata"
"Narcissus asturiensis","Narcissus asturiensis","Narcissus asturiensis",NA
"Narcissus pseudonarcissus","Narcissus pseudonarcissus","Narcissus pseudonarcissus","Narcissus pseudonarcissus"
"Narcissus tazetta","Narcissus tazetta","Narcissus tazetta","Narcissus tazetta"
"Oenanthe aquatica","Oenanthe aquatica","Oenanthe aquatica","Oenanthe aquatica"
"Onopordum acanthium L.","Onopordum acanthium","Onopordum acanthium","Onopordum acanthium"
"Pastinaca sativa L.","Pastinaca sativa","Pastinaca sativa","Pastinaca sativa"
"Peucedanum palustre","Peucedanum palustre","Peucedanum palustre","Peucedanum palustre"
"Picris hieracioides","Picris hieracioides","Picris hieracioides","Picris hieracioides"
"Pilosella officinarum","Pilosella officinarum","Pilosella officinarum",NA
"Pimpinella saxifraga L.","Pimpinella saxifraga","Pimpinella saxifraga","Pimpinella saxifraga"
"Polygonatum odoratum ","Polygonatum odoratum","Polygonatum odoratum",NA
"Puschkinia scilloides","Puschkinia scilloides","Puschkinia scilloides",NA
"Sagittaria sagittifolia L.","Sagittaria sagittifolia","Sagittaria sagittifolia","Sagittaria sagittifolia"
"Saussurea alpina","Saussurea alpina","Saussurea alpina",NA
"Scilla forbesii","Scilla forbesii","Scilla forbesii",NA
"Scilla siberica","Scilla siberica","Scilla siberica","Scilla siberica"
"Scorzoneroides autumnalis","Scorzoneroides autumnalis","Scorzoneroides autumnalis",NA
"Seseli libanotis","Seseli libanotis","Seseli libanotis","Seseli libanotis"
"Sium latifolium L.","Sium latifolium","Sium latifolium","Sium latifolium"
"Torilis japonica","Torilis japonica","Torilis japonica","Torilis japonica"
"Viburnum opulus L.","Viburnum opulus","Viburnum opulus","Viburnum opulus"
"Vinca minor","Vinca minor","Vinca minor","Vinca minor"
"Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Vincetoxicum hirundinaria"
"Agrostemma githago L.","Agrostemma githago","Agrostemma githago","Agrostemma githago"
"Alliaria petiolata","Alliaria petiolata","Alliaria petiolata","Alliaria petiolata"
"Alnus glutinosa","Alnus glutinosa","Alnus glutinosa","Alnus glutinosa"
"Anchusa officinalis ","Anchusa officinalis","Anchusa officinalis","Anchusa officinalis"
"Arabidopsis arenosa","Arabidopsis arenosa","Arabidopsis arenosa","Arabidopsis arenosa"
"Arabidopsis sp.","Arabidopsis","Arabidopsis",NA
"Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana"
"Arabis glabra","Arabis glabra","Arabis glabra",NA
"Arabis hirsuta","Arabis hirsuta","Arabis hirsuta","Arabis hirsuta"
"Arenaria serpyllifolia L.","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia"
"Armoracia rusticana","Armoracia rusticana","Armoracia rusticana","Armoracia rusticana"
"Asperugo procumbens L.","Asperugo procumbens","Asperugo procumbens","Asperugo procumbens"
"Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris"
"Berberis vulgaris","Berberis vulgaris","Berberis vulgaris","Berberis vulgaris"
"Betula pendula","Betula pendula","Betula pendula","Betula pendula"
"Betula pubescens","Betula pubescens","Betula pubescens","Betula pubescens"
"Buglossoides arvensis","Buglossoides arvensis","Buglossoides arvensis","Buglossoides arvensis"
"Bunias orientalis L.","Bunias orientalis","Bunias orientalis","Bunias orientalis"
"Butomus umbellatus","Butomus umbellatus","Butomus umbellatus","Butomus umbellatus"
"Camelina sativa","Camelina sativa","Camelina sativa","Camelina sativa"
"Campanula cervicaria L.","Campanula cervicaria","Campanula cervicaria","Campanula cervicaria"
"Campanula glomerata","Campanula glomerata","Campanula glomerata","Campanula glomerata"
"Campanula latifolia L.","Campanula latifolia","Campanula latifolia","Campanula latifolia"
"Campanula persicifolia L.","Campanula persicifolia","Campanula persicifolia","Campanula persicifolia"
"Campanula rapunculoides L.","Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides"
"Campanula rotundifolia L.","Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia"
"Campanula trachelium L.","Campanula trachelium","Campanula trachelium","Campanula trachelium"
"Capsella bursa -pastoris",NA,NA,NA
"Cardamine amara L.","Cardamine amara","Cardamine amara",NA
"Cardamine bulbifera","Cardamine bulbifera","Cardamine bulbifera","Cardamine bulbifera"
"Cardamine impatiens L.","Cardamine impatiens","Cardamine impatiens","Cardamine impatiens"
"Cardamine pratensis L.","Cardamine pratensis","Cardamine pratensis","Cardamine pratensis"
"Cerastium fontanum","Cerastium fontanum","Cerastium fontanum","Cerastium fontanum"
"Cerastium glomeratum","Cerastium glomeratum","Cerastium glomeratum","Cerastium glomeratum"
"Cerastium pentandrum L.","Cerastium pentandrum","Cerastium pentandrum",NA
"Cerastium tomentosum","Cerastium tomentosum","Cerastium tomentosum","Cerastium tomentosum"
"Corylus avellana L.","Corylus avellana","Corylus avellana","Corylus avellana"
"Cynoglossum officinale L.","Cynoglossum officinale","Cynoglossum officinale","Cynoglossum officinale"
"Dianthus deltoides L.","Dianthus deltoides","Dianthus deltoides","Dianthus deltoides"
"Draba muralis L.","Draba muralis","Draba muralis",NA
"Echium vulgare L.","Echium vulgare","Echium vulgare","Echium vulgare"
"Erophila verna","Erophila verna","Erophila verna",NA
"Erysimum cheiranthoides L.","Erysimum cheiranthoides","Erysimum cheiranthoides","Erysimum cheiranthoides"
"Herniaria glabra L.","Herniaria glabra","Herniaria glabra","Herniaria glabra"
"Impatiens glandulifera Royle.","Impatiens glandulifera","Impatiens glandulifera","Impatiens glandulifera"
"Impatiens parviflora","Impatiens parviflora","Impatiens parviflora","Impatiens parviflora"
"Jasione montana L.","Jasione montana","Jasione montana","Jasione montana"
"Knautia arvensis","Knautia arvensis","Knautia arvensis","Knautia arvensis"
"Lepidium  campestre","Lepidium campestre","Lepidium campestre","Lepidium campestre"
"Lepidium  ruderale L.","Lepidium ruderale","Lepidium ruderale","Lepidium ruderale"
"Lobelia dortmanna L.","Lobelia dortmanna","Lobelia dortmanna","Lobelia dortmanna"
"Lonicera xylosteum L.","Lonicera xylosteum","Lonicera xylosteum","Lonicera xylosteum"
"Lychnis flos-cuculi L.","Lychnis flos-cuculi","Lychnis flos-cuculi",NA
"Lycopsis arvensis L.","Lycopsis arvensis","Lycopsis arvensis",NA
"Myosotis arvensis ","Myosotis arvensis","Myosotis arvensis","Myosotis arvensis"
"Myosotis lapula L.","Myosotis apula","Myosotis apula",NA
"Myosotis laxa","Myosotis laxa","Myosotis laxa","Myosotis laxa"
"Myosotis ramosissima","Myosotis ramosissima","Myosotis ramosissima",NA
"Myosotis Scorpioides","Myosotis scorpioides","Myosotis scorpioides","Myosotis scorpioides"
"Myosotis spp.","Myosotis","Myosotis",NA
"Myosotis Sylvatica","Myosotis sylvatica","Myosotis sylvatica","Myosotis sylvatica"
"Nasturtium officinale","Nasturtium officinale","Nasturtium officinale","Nasturtium officinale"
"Pulmonaria obscura","Pulmonaria obscura","Pulmonaria obscura",NA
"Pulmonaria officinalis L.","Pulmonaria officinalis","Pulmonaria officinalis","Pulmonaria officinalis"
"Sagina nodosa","Sagina nodosa","Sagina nodosa","Sagina nodosa"
"Sagina procumbens L.","Sagina procumbens","Sagina procumbens","Sagina procumbens"
"Sambucus  nigra","Sambucus nigra","Sambucus nigra","Sambucus nigra"
"Saponaria officinalis","Saponaria officinalis","Saponaria officinalis","Saponaria officinalis"
"Scleranthus annuus L.","Scleranthus annuus","Scleranthus annuus","Scleranthus annuus"
"Scleranthus perennis","Scleranthus perennis","Scleranthus perennis","Scleranthus perennis"
"Senecio viscosus","Senecio viscosus","Senecio viscosus","Senecio viscosus"
"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris","Senecio vulgaris"
"Serratula  tinctoria L.","Serratula tinctoria","Serratula tinctoria","Serratula tinctoria"
"Silene dioica","Silene dioica","Silene dioica","Silene dioica"
"Silene latifolia","Silene latifolia","Silene latifolia","Silene latifolia"
"Silene nutans L.","Silene nutans","Silene nutans","Silene nutans"
"Silene viscaria","Silene viscaria","Silene viscaria","Silene viscaria"
"Silene vulgaris","Silene vulgaris","Silene vulgaris","Silene vulgaris"
"Sinapis arvensis L.","Sinapis arvensis","Sinapis arvensis","Sinapis arvensis"
"Sisymbrium altissimum","Sisymbrium altissimum","Sisymbrium altissimum","Sisymbrium altissimum"
"Sisymbrium irio L.","Sisymbrium irio","Sisymbrium irio","Sisymbrium irio"
"Sisymbrium officinale","Sisymbrium officinale","Sisymbrium officinale","Sisymbrium officinale"
"Sisymbrium sophia L.","Sisymbrium sophia","Sisymbrium sophia",NA
"Solidago virgaurea L.","Solidago virgaurea","Solidago virgaurea",NA
"Sonchus arvensis L.","Sonchus arvensis","Sonchus arvensis","Sonchus arvensis"
"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus"
"Spergula arvensis L.","Spergula arvensis","Spergula arvensis","Spergula arvensis"
"Spergularia marina","Spergularia marina","Spergularia marina",NA
"Spergularia rubra","Spergularia rubra","Spergularia rubra","Spergularia rubra"
"Stellaria alsine","Stellaria alsine","Stellaria alsine","Stellaria alsine"
"Succisa pratensis Moench,","Succisa pratensis","Succisa pratensis","Succisa pratensis"
"Symphytum x uplandicum","Symphytum uplandicum","Symphytum uplandicum",NA
"Tanacetum vulgare L.","Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare"
"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale","Taraxacum officinale"
"Thlaspi arvense L.","Thlaspi arvense","Thlaspi arvense","Thlaspi arvense"
"Thlaspi caerulescens","Thlaspi caerulescens","Thlaspi caerulescens",NA
"Tragopogon  pratensis L.","Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis"
"Tripleurospermum perforatum","Tripleurospermum perforatum","Tripleurospermum perforatum",NA
"Tussilago farfara","Tussilago farfara","Tussilago farfara","Tussilago farfara"
"Valeriana officinalis L.","Valeriana officinalis","Valeriana officinalis","Valeriana officinalis"
"Ajuga pyramidalis L.","Ajuga pyramidalis","Ajuga pyramidalis",NA
"Ajuga reptans","Ajuga reptans","Ajuga reptans","Ajuga reptans"
"Anthyllis  vulneraria L.","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria"
"Arctostaphyllos uva-ursi L.","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi"
"Astragalus glycyphyllos","Astragalus glycyphyllos","Astragalus glycyphyllos","Astragalus glycyphyllos"
"Calluna vulgaris","Calluna vulgaris","Calluna vulgaris","Calluna vulgaris"
"Calystegia sepium","Calystegia sepium","Calystegia sepium","Calystegia sepium"
"Chenopodium album","Chenopodium album","Chenopodium album","Chenopodium album"
"Clinopodium acinos","Clinopodium acinos","Clinopodium acinos","Clinopodium acinos"
"Clinopodium vulgare L.","Clinopodium vulgare","Clinopodium vulgare","Clinopodium vulgare"
"Convallaria majalis L.","Convallaria majalis","Convallaria majalis","Convallaria majalis"
"Convolvulus arvensis L.","Convolvulus arvensis","Convolvulus arvensis","Convolvulus arvensis"
"Crassula aquatica","Crassula aquatica","Crassula aquatica","Crassula aquatica"
"Cuscuta europaea","Cuscuta europaea","Cuscuta europaea","Cuscuta europaea"
"Drosera  anglica Huds.","Drosera anglica","Drosera anglica","Drosera anglica"
"Drosera  rotundifolia L.","Drosera rotundifolia","Drosera rotundifolia","Drosera rotundifolia"
"Empetrum nigrum L.","Empetrum nigrum","Empetrum nigrum","Empetrum nigrum"
"Erodium cicutarium","Erodium cicutarium","Erodium cicutarium","Erodium cicutarium"
"Euphorbia helioscopia L.","Euphorbia helioscopia","Euphorbia helioscopia","Euphorbia helioscopia"
"Euphorbia peplis L.","Euphorbia peplis","Euphorbia peplis","Euphorbia peplis"
"Galeopsis ladanum L.","Galeopsis ladanum","Galeopsis ladanum","Galeopsis ladanum"
"Galeopsis speciosa","Galeopsis speciosa","Galeopsis speciosa","Galeopsis speciosa"
"Galeopsis tetrahit L.","Galeopsis tetrahit","Galeopsis tetrahit","Galeopsis tetrahit"
"Gentianella amarella","Gentianella amarella","Gentianella amarella","Gentianella amarella"
"Geranium  lucidum","Geranium lucidum","Geranium lucidum","Geranium lucidum"
"Geranium  pratense","Geranium pratense","Geranium pratense","Geranium pratense"
"Geranium  pusillum","Geranium pusillum","Geranium pusillum","Geranium pusillum"
"Geranium  robertianum L.","Geranium robertianum","Geranium robertianum","Geranium robertianum"
"Geranium  sanguineum L.","Geranium sanguineum","Geranium sanguineum","Geranium sanguineum"
"Geranium  sylvaticum L.","Geranium sylvaticum","Geranium sylvaticum","Geranium sylvaticum"
"Glechoma hederacea","Glechoma hederacea","Glechoma hederacea","Glechoma hederacea"
"Hydrocharis morsus-ranae L.","Hydrocharis morsus-ranae","Hydrocharis morsus-ranae","Hydrocharis morsus-ranae"
"Hylotelephium telephium","Hylotelephium telephium","Hylotelephium telephium","Hylotelephium telephium"
"Hypericum hirsutum L.","Hypericum hirsutum","Hypericum hirsutum",NA
"Hypericum maculatum","Hypericum maculatum","Hypericum maculatum","Hypericum maculatum"
"Hypericum montanum L.","Hypericum montanum","Hypericum montanum",NA
"Hypericum perforatum L.","Hypericum perforatum","Hypericum perforatum","Hypericum perforatum"
"Iris pseudacorus L.","Iris pseudacorus","Iris pseudacorus","Iris pseudacorus"
"Juncus bufonius L.","Juncus bufonius","Juncus bufonius","Juncus bufonius"
"Laburnum anagyroides Medik.","Laburnum anagyroides","Laburnum anagyroides","Laburnum anagyroides"
"Lamium album L.","Lamium album","Lamium album","Lamium album"
"Lamium amplexicaule","Lamium amplexicaule","Lamium amplexicaule","Lamium amplexicaule"
"Lamium purpureum L.","Lamium purpureum","Lamium purpureum","Lamium purpureum"
"Lathyrus latifolius","Lathyrus latifolius","Lathyrus latifolius","Lathyrus latifolius"
"Lathyrus linifolius","Lathyrus linifolius","Lathyrus linifolius","Lathyrus linifolius"
"Lathyrus montanus","Lathyrus montanus","Lathyrus montanus",NA
"Lathyrus niger","Lathyrus niger","Lathyrus niger","Lathyrus niger"
"Lathyrus palustris L.","Lathyrus palustris","Lathyrus palustris","Lathyrus palustris"
"Lathyrus pratensis L.","Lathyrus pratensis","Lathyrus pratensis","Lathyrus pratensis"
"Lathyrus sylvestris","Lathyrus sylvestris","Lathyrus sylvestris","Lathyrus sylvestris"
"Lathyrus vernus","Lathyrus vernus","Lathyrus vernus","Lathyrus vernus"
"Leonurus cardiaca L.","Leonurus cardiaca","Leonurus cardiaca","Leonurus cardiaca"
"Lotus corniculatus L.","Lotus corniculatus","Lotus corniculatus","Lotus corniculatus"
"Lupinus polyphyllus","Lupinus polyphyllus","Lupinus polyphyllus","Lupinus polyphyllus"
"Lycopus europaeus L.","Lycopus europaeus","Lycopus europaeus","Lycopus europaeus"
"Medicago falcata L.","Medicago falcata","Medicago falcata",NA
"Medicago lupulina L.","Medicago lupulina","Medicago lupulina","Medicago lupulina"
"Medicago sativa L.","Medicago sativa","Medicago sativa","Medicago sativa"
"Melilotus albus","Melilotus albus","Melilotus albus","Melilotus albus"
"Melilotus officinalis","Melilotus officinalis","Melilotus officinalis","Melilotus officinalis"
"Moneses uniflora","Moneses uniflora","Moneses uniflora","Moneses uniflora"
"Monotropa hypopitys L.","Monotropa hypopitys","Monotropa hypopitys",NA
"Orthilia secunda","Orthilia secunda","Orthilia secunda","Orthilia secunda"
"Phyllodoce caerulea","Phyllodoce caerulea","Phyllodoce caerulea","Phyllodoce caerulea"
"Pyrola minor L.","Pyrola minor","Pyrola minor","Pyrola minor"
"Pyrola rotundifolia L.","Pyrola rotundifolia","Pyrola rotundifolia","Pyrola rotundifolia"
"Quercus robur L.","Quercus robur","Quercus robur","Quercus robur"
"Rhododendron tomentosum","Rhododendron tomentosum","Rhododendron tomentosum","Rhododendron tomentosum"
"Ribes alpinum L.","Ribes alpinum","Ribes alpinum","Ribes alpinum"
"Ribes uva-crispa L.","Ribes uva-crispa","Ribes uva-crispa","Ribes uva-crispa"
"Sedum acre L.","Sedum acre","Sedum acre","Sedum acre"
"Sedum album L.","Sedum album","Sedum album","Sedum album"
"Sedum annuum ","Sedum annuum","Sedum annuum","Sedum annuum"
"Sedum hybridum","Sedum hybridum","Sedum hybridum",NA
"Sedum sexangulare L.","Sedum sexangulare","Sedum sexangulare","Sedum sexangulare"
"Sedum telephium L.","Sedum telephium","Sedum telephium",NA
"Stellaria graminea L.","Stellaria graminea","Stellaria graminea","Stellaria graminea"
"Stellaria longifolia","Stellaria longifolia","Stellaria longifolia","Stellaria longifolia"
"Stellaria media","Stellaria media","Stellaria media","Stellaria media"
"Stellaria nemorum","Stellaria nemorum","Stellaria nemorum","Stellaria nemorum"
"Stellaria palustris","Stellaria palustris","Stellaria palustris","Stellaria palustris"
"Stratiotes aloides L.","Stratiotes aloides","Stratiotes aloides","Stratiotes aloides"
"Trifolium arvense L.","Trifolium arvense","Trifolium arvense","Trifolium arvense"
"Trifolium aureum","Trifolium aureum","Trifolium aureum","Trifolium aureum"
"Trifolium medium","Trifolium medium","Trifolium medium","Trifolium medium"
"Trifolium montanum L.","Trifolium montanum","Trifolium montanum","Trifolium montanum"
"Trifolium pratense L.","Trifolium pratense","Trifolium pratense","Trifolium pratense"
"Trifolium repens L.","Trifolium repens","Trifolium repens","Trifolium repens"
"Vaccinium myrtillus L.","Vaccinium myrtillus","Vaccinium myrtillus","Vaccinium myrtillus"
"Vaccinium oxycoccos L.","Vaccinium oxycoccos","Vaccinium oxycoccos","Vaccinium oxycoccos"
"Vaccinium uliginosum L.","Vaccinium uliginosum","Vaccinium uliginosum","Vaccinium uliginosum"
"Vaccinium vitis-idaea L.","Vaccinium vitis-idaea","Vaccinium vitis-idaea","Vaccinium vitis-idaea"
"Vicia cassubica L.","Vicia cassubica","Vicia cassubica","Vicia cassubica"
"Vicia cracca L.","Vicia cracca","Vicia cracca","Vicia cracca"
"Vicia hirsuta","Vicia hirsuta","Vicia hirsuta","Vicia hirsuta"
"Vicia pisiformis","Vicia pisiformis","Vicia pisiformis","Vicia pisiformis"
"Vicia sativa L.","Vicia sativa","Vicia sativa","Vicia sativa"
"Vicia sepium L.","Vicia sepium","Vicia sepium","Vicia sepium"
"Vicia sylvatica L.","Vicia sylvatica","Vicia sylvatica","Vicia sylvatica"
"Viscaria vulgaris","Viscaria vulgaris","Viscaria vulgaris",NA
"Androsace septentrionalis L.","Androsace septentrionalis","Androsace septentrionalis","Androsace septentrionalis"
"Bistorta vivipara","Bistorta vivipara","Bistorta vivipara","Bistorta vivipara"
"Callitriche palustris L.","Callitriche palustris","Callitriche palustris","Callitriche palustris"
"Chaenorhinum minus","Chaenorhinum minus","Chaenorhinum minus","Chaenorhinum minus"
"Chelidonium majus L.","Chelidonium majus","Chelidonium majus","Chelidonium majus"
"Corydalis nobilis","Corydalis nobilis","Corydalis nobilis",NA
"Corydalis solida","Corydalis solida","Corydalis solida","Corydalis solida"
"Dactylorhiza sambucina","Dactylorhiza sambucina","Dactylorhiza sambucina",NA
"Epilobium angustifolium L.","Epilobium angustifolium","Epilobium angustifolium",NA
"Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum"
"Epilobium montanum L.","Epilobium montanum","Epilobium montanum","Epilobium montanum"
"Epilobium palustre L.","Epilobium palustre","Epilobium palustre","Epilobium palustre"
"Euphrasia officinalis","Euphrasia officinalis","Euphrasia officinalis","Euphrasia officinalis"
"Fallopia  convolvulus","Fallopia convolvulus","Fallopia convolvulus","Fallopia convolvulus"
"Fritillaria meleagris L.","Fritillaria meleagris","Fritillaria meleagris","Fritillaria meleagris"
"Fumaria officinalis","Fumaria officinalis","Fumaria officinalis","Fumaria officinalis"
"Fumaria vaillantii","Fumaria vaillantii","Fumaria vaillantii","Fumaria vaillantii"
"Gagea lutea","Gagea lutea","Gagea lutea",NA
"Gagea minima","Gagea minima","Gagea minima",NA
"Glaux maritima L.","Glaux maritima","Glaux maritima",NA
"Hippuris vulgaris L.","Hippuris vulgaris","Hippuris vulgaris","Hippuris vulgaris"
"Lathraea squamaria L.","Lathraea squamaria","Lathraea squamaria",NA
"Lilium martagon L.","Lilium martagon","Lilium martagon","Lilium martagon"
"Linnaea borealis L.","Linnaea borealis","Linnaea borealis","Linnaea borealis"
"Linum catharticum L.","Linum catharticum","Linum catharticum","Linum catharticum"
"Lysimachia nummularia L.","Lysimachia nummularia","Lysimachia nummularia","Lysimachia nummularia"
"Lysimachia nummularia L.","Lysimachia nummularia","Lysimachia nummularia","Lysimachia nummularia"
"Lysimachia punctata L.","Lysimachia punctata","Lysimachia punctata","Lysimachia punctata"
"Lysimachia vulgaris","Lysimachia vulgaris","Lysimachia vulgaris","Lysimachia vulgaris"
"Lysimachia vulgaris L.","Lysimachia vulgaris","Lysimachia vulgaris","Lysimachia vulgaris"
"Lythrum salicaria L.","Lythrum salicaria","Lythrum salicaria","Lythrum salicaria"
"Malva alcea","Malva alcea","Malva alcea","Malva alcea"
"Malva neglecta","Malva neglecta","Malva neglecta","Malva neglecta"
"Marrubium vulgare","Marrubium vulgare","Marrubium vulgare","Marrubium vulgare"
"Melampyrum cristatum L.","Melampyrum cristatum","Melampyrum cristatum",NA
"Melampyrum nemorosum","Melampyrum nemorosum","Melampyrum nemorosum",NA
"Melampyrum pratense L.","Melampyrum pratense","Melampyrum pratense",NA
