"species","matched_names","synonym_names","final_names"
"Myosotis laxa","Myosotis laxa","Myosotis laxa","Myosotis laxa"
"Myosotis ramosissima","Myosotis ramosissima","Myosotis ramosissima",NA
"Myosotis scorpoides","Myosotis scorpioides","Myosotis scorpioides","Myosotis scorpioides"
"Myosotis spp.","Myosotis","Myosotis",NA
"Myosotis sylvatica","Myosotis sylvatica","Myosotis sylvatica","Myosotis sylvatica"
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Myrrhis odorata"
"Narcissus asturiensis","Narcissus asturiensis","Narcissus asturiensis",NA
"Narcissus pseudonarcissus","Narcissus pseudonarcissus","Narcissus pseudonarcissus","Narcissus pseudonarcissus"
"Narcissus tazetta","Narcissus tazetta","Narcissus tazetta","Narcissus tazetta"
"Onopordum  acanthium","Onopordum acanthium","Onopordum acanthium","Onopordum acanthium"
"Pastinaca sativa L.","Pastinaca sativa","Pastinaca sativa","Pastinaca sativa"
"Peucedanum  palustre","Peucedanum palustre","Peucedanum palustre","Peucedanum palustre"
"Picris hieracioides","Picris hieracioides","Picris hieracioides","Picris hieracioides"
"Pilosella officinarum","Pilosella officinarum","Pilosella officinarum",NA
"Pimpinella saxifraga L.","Pimpinella saxifraga","Pimpinella saxifraga","Pimpinella saxifraga"
"Polygonatum odoratum ","Polygonatum odoratum","Polygonatum odoratum",NA
"Pulmonaria obscura","Pulmonaria obscura","Pulmonaria obscura",NA
"Puschkinia scilloides","Puschkinia scilloides","Puschkinia scilloides",NA
"Saussurea alpina","Saussurea alpina","Saussurea alpina",NA
"Scilla forbesii","Scilla forbesii","Scilla forbesii",NA
"Scilla siberica","Scilla siberica","Scilla siberica","Scilla siberica"
"Scorzoneroides autumnalis L.","Scorzoneroides autumnalis","Scorzoneroides autumnalis",NA
"Senecio  viscosus","Senecio viscosus","Senecio viscosus","Senecio viscosus"
"Senecio  vulgaris","Senecio vulgaris","Senecio vulgaris","Senecio vulgaris"
"Sium latifolium","Sium latifolium","Sium latifolium","Sium latifolium"
"Solidago virgaurea L. ","Solidago virgaurea","Solidago virgaurea",NA
"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis","Sonchus arvensis"
"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus"
"Symphytum  x uplandicum","Symphytum uplandicum","Symphytum uplandicum",NA
"Tanacetum  vulgare L. ","Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare"
"Taraxacum  officinale ","Taraxacum officinale","Taraxacum officinale","Taraxacum officinale"
"Tragopogon  pratensis L.","Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis"
"Tripleurospermum perforatum","Tripleurospermum perforatum","Tripleurospermum perforatum",NA
"Tussilago farfara","Tussilago farfara","Tussilago farfara","Tussilago farfara"
"Viburnum opulus L.","Viburnum opulus","Viburnum opulus","Viburnum opulus"
"Vinca minor","Vinca minor","Vinca minor","Vinca minor"
"Ajuga reptans","Ajuga reptans","Ajuga reptans","Ajuga reptans"
"Anthyllis vulneraria L. ","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria"
"Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia"
"Astragalus glycyhphyllos","Astragalus glycyphyllos","Astragalus glycyphyllos","Astragalus glycyphyllos"
"Butomus umbellatus","Butomus umbellatus","Butomus umbellatus","Butomus umbellatus"
"Calluna vulgaris","Calluna vulgaris","Calluna vulgaris","Calluna vulgaris"
"Calystegia sepium ","Calystegia sepium","Calystegia sepium","Calystegia sepium"
"Campanula glomerata","Campanula glomerata","Campanula glomerata","Campanula glomerata"
"Campanula latifolia","Campanula latifolia","Campanula latifolia","Campanula latifolia"
"Campanula persicifolia L.","Campanula persicifolia","Campanula persicifolia","Campanula persicifolia"
"Campanula rapunculoides L. ","Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides"
"Campanula rotundifolia L.","Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia"
"Campanula trachelium L.","Campanula trachelium","Campanula trachelium","Campanula trachelium"
"Capsella bursa-pastoris L. ","Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris"
"Cardamine pratensis","Cardamine pratensis","Cardamine pratensis","Cardamine pratensis"
"Cardaminopsis arenosa","Cardaminopsis arenosa","Cardaminopsis arenosa",NA
"Cerastium tomentosum L.","Cerastium tomentosum","Cerastium tomentosum","Cerastium tomentosum"
"Convolvulus arvensis L.","Convolvulus arvensis","Convolvulus arvensis","Convolvulus arvensis"
"Dianthus  deltoides L. ","Dianthus deltoides","Dianthus deltoides","Dianthus deltoides"
"Drosera rotundifolia L.","Drosera rotundifolia","Drosera rotundifolia","Drosera rotundifolia"
"Empetrum nigrum L.","Empetrum nigrum","Empetrum nigrum","Empetrum nigrum"
"Eriophorum angustifolium Honck.","Eriophorum angustifolium","Eriophorum angustifolium","Eriophorum angustifolium"
"Erodium cicutarium","Erodium cicutarium","Erodium cicutarium","Erodium cicutarium"
"Erophila verna","Erophila verna","Erophila verna",NA
"Euphorbia helioscopia","Euphorbia helioscopia","Euphorbia helioscopia","Euphorbia helioscopia"
"Galeopsis ladanum","Galeopsis ladanum","Galeopsis ladanum","Galeopsis ladanum"
"Galeopsis speciosa","Galeopsis speciosa","Galeopsis speciosa","Galeopsis speciosa"
"Galeopsis tetrahit L.","Galeopsis tetrahit","Galeopsis tetrahit","Galeopsis tetrahit"
"Geranium lucidum","Geranium lucidum","Geranium lucidum","Geranium lucidum"
"Geranium pratense","Geranium pratense","Geranium pratense","Geranium pratense"
"Geranium pusillum","Geranium pusillum","Geranium pusillum","Geranium pusillum"
"Geranium robertianum L.","Geranium robertianum","Geranium robertianum","Geranium robertianum"
"Geranium sanguineum","Geranium sanguineum","Geranium sanguineum","Geranium sanguineum"
"Geranium sylvaticum L.","Geranium sylvaticum","Geranium sylvaticum","Geranium sylvaticum"
"Glechoma hederacea L.","Glechoma hederacea","Glechoma hederacea","Glechoma hederacea"
"Hylotelephium telephium","Hylotelephium telephium","Hylotelephium telephium","Hylotelephium telephium"
"Hypericum maculatum ","Hypericum maculatum","Hypericum maculatum","Hypericum maculatum"
"Hypericum montanum","Hypericum montanum","Hypericum montanum",NA
"Hypericum perforatum L.","Hypericum perforatum","Hypericum perforatum","Hypericum perforatum"
"Iris pseudacorus L. ","Iris pseudacorus","Iris pseudacorus","Iris pseudacorus"
"Jasione montana L.","Jasione montana","Jasione montana","Jasione montana"
"Knautia arvensis ","Knautia arvensis","Knautia arvensis","Knautia arvensis"
"Laburnum anagyroides Medik.","Laburnum anagyroides","Laburnum anagyroides","Laburnum anagyroides"
"Lathyrus latifolius","Lathyrus latifolius","Lathyrus latifolius","Lathyrus latifolius"
"Lathyrus linifolius","Lathyrus linifolius","Lathyrus linifolius","Lathyrus linifolius"
"Lathyrus montanus","Lathyrus montanus","Lathyrus montanus",NA
"Lathyrus pratensis L.","Lathyrus pratensis","Lathyrus pratensis","Lathyrus pratensis"
"Lathyrus sylvestris L. ","Lathyrus sylvestris","Lathyrus sylvestris","Lathyrus sylvestris"
"Lotus corniculatus L.","Lotus corniculatus","Lotus corniculatus","Lotus corniculatus"
"Lupinus polyphyllus ","Lupinus polyphyllus","Lupinus polyphyllus","Lupinus polyphyllus"
"Medicago falcata L. ","Medicago falcata","Medicago falcata",NA
"Medicago lupulina L.","Medicago lupulina","Medicago lupulina","Medicago lupulina"
"Medicago sativa L.","Medicago sativa","Medicago sativa","Medicago sativa"
"Melilotus albus ","Melilotus albus","Melilotus albus","Melilotus albus"
"Melilotus officinalis","Melilotus officinalis","Melilotus officinalis","Melilotus officinalis"
"Pyrola minor L.","Pyrola minor","Pyrola minor","Pyrola minor"
"Pyrola rotundifolia L.","Pyrola rotundifolia","Pyrola rotundifolia","Pyrola rotundifolia"
"Quercus robur L.","Quercus robur","Quercus robur","Quercus robur"
"Rhododendron tomentosum","Rhododendron tomentosum","Rhododendron tomentosum","Rhododendron tomentosum"
"Ribes uva-crispa L.","Ribes uva-crispa","Ribes uva-crispa","Ribes uva-crispa"
"Sambucus  nigra","Sambucus nigra","Sambucus nigra","Sambucus nigra"
"Saponaria officinalis","Saponaria officinalis","Saponaria officinalis","Saponaria officinalis"
"Scleranthus annuus","Scleranthus annuus","Scleranthus annuus","Scleranthus annuus"
"Scleranthus perennis","Scleranthus perennis","Scleranthus perennis","Scleranthus perennis"
"Sedum acre L.","Sedum acre","Sedum acre","Sedum acre"
"Sedum album","Sedum album","Sedum album","Sedum album"
"Sedum hybridum","Sedum hybridum","Sedum hybridum",NA
"Sedum telephium","Sedum telephium","Sedum telephium",NA
"Silene dioica ","Silene dioica","Silene dioica","Silene dioica"
"Silene flos-cuculi","Silene flos-cuculi","Silene flos-cuculi","Silene flos-cuculi"
"Silene latifolia Poir.","Silene latifolia","Silene latifolia","Silene latifolia"
"Silene nutans L. ","Silene nutans","Silene nutans","Silene nutans"
"Silene vulgaris","Silene vulgaris","Silene vulgaris","Silene vulgaris"
"Sinapis arvensis","Sinapis arvensis","Sinapis arvensis","Sinapis arvensis"
"Sisymbrium altissimum","Sisymbrium altissimum","Sisymbrium altissimum","Sisymbrium altissimum"
"Spergularia marina","Spergularia marina","Spergularia marina",NA
"Spergularia salina","Spergularia salina","Spergularia salina","Spergularia salina"
"Stellaria alsine","Stellaria alsine","Stellaria alsine","Stellaria alsine"
"Stellaria graminea L.","Stellaria graminea","Stellaria graminea","Stellaria graminea"
"Stellaria longifolia ","Stellaria longifolia","Stellaria longifolia","Stellaria longifolia"
"Stellaria media L.","Stellaria media","Stellaria media","Stellaria media"
"Stellaria nemorum","Stellaria nemorum","Stellaria nemorum","Stellaria nemorum"
"Stellaria palustris Retz. ","Stellaria palustris","Stellaria palustris","Stellaria palustris"
"Succisa pratensis Moench.","Succisa pratensis","Succisa pratensis","Succisa pratensis"
"Thlaspi arvense L.","Thlaspi arvense","Thlaspi arvense","Thlaspi arvense"
"Thlaspi caerulescens","Thlaspi caerulescens","Thlaspi caerulescens",NA
"Trifolium arvense L.","Trifolium arvense","Trifolium arvense","Trifolium arvense"
"Trifolium medium ","Trifolium medium","Trifolium medium","Trifolium medium"
"Trifolium montanum L. ","Trifolium montanum","Trifolium montanum","Trifolium montanum"
"Trifolium pratense L.","Trifolium pratense","Trifolium pratense","Trifolium pratense"
"Trifolium repens L.","Trifolium repens","Trifolium repens","Trifolium repens"
"Vaccinium  myrtillus L.","Vaccinium myrtillus","Vaccinium myrtillus","Vaccinium myrtillus"
"Vaccinium  vitis-idaea L.","Vaccinium vitis-idaea","Vaccinium vitis-idaea","Vaccinium vitis-idaea"
"Valeriana officinalis L.","Valeriana officinalis","Valeriana officinalis","Valeriana officinalis"
"Vicia cassubica L.","Vicia cassubica","Vicia cassubica","Vicia cassubica"
"Vicia cracca L.","Vicia cracca","Vicia cracca","Vicia cracca"
"Vicia pisiformis","Vicia pisiformis","Vicia pisiformis","Vicia pisiformis"
"Vicia sepium L.","Vicia sepium","Vicia sepium","Vicia sepium"
"Vicia sylvatica L.","Vicia sylvatica","Vicia sylvatica","Vicia sylvatica"
"Viscaria vulgaris Roehl.","Viscaria vulgaris","Viscaria vulgaris",NA
"Agrimonia eupatoria L.","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria"
"Alchemilla vulgaris L.","Alchemilla vulgaris","Alchemilla vulgaris",NA
"Anemone nemorosa L.","Anemone nemorosa","Anemone nemorosa","Anemone nemorosa"
"Anemone ranunculiodes","Anemone ranunculoides","Anemone ranunculoides","Anemone ranunculoides"
"Aquilegia vulgaris L.","Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris"
"Argentina anserina L.","Argentina anserina","Argentina anserina",NA
"Bistorta vivipara","Bistorta vivipara","Bistorta vivipara","Bistorta vivipara"
"Caltha palustris L. ","Caltha palustris","Caltha palustris","Caltha palustris"
"Chaenorhinum minus","Chaenorhinum minus","Chaenorhinum minus","Chaenorhinum minus"
"Chelidonium majus L.","Chelidonium majus","Chelidonium majus","Chelidonium majus"
"Consolida regalis ","Consolida regalis","Consolida regalis","Consolida regalis"
"Corydalis nobilis","Corydalis nobilis","Corydalis nobilis",NA
"Epilobium angustifolium","Epilobium angustifolium","Epilobium angustifolium",NA
"Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum","Epilobium hirsutum"
"Epilobium montanum L. ","Epilobium montanum","Epilobium montanum","Epilobium montanum"
"Epilobium palustre L. ","Epilobium palustre","Epilobium palustre","Epilobium palustre"
"Euphrasia  officinalis ","Euphrasia officinalis","Euphrasia officinalis","Euphrasia officinalis"
"Ficaria verna","Ficaria verna","Ficaria verna",NA
"Filipendula ulmaria L.","Filipendula ulmaria","Filipendula ulmaria","Filipendula ulmaria"
"Filipendula vulgaris Moench.","Filipendula vulgaris","Filipendula vulgaris","Filipendula vulgaris"
"Fragaria  vesca L. ","Fragaria vesca","Fragaria vesca","Fragaria vesca"
"Fritillaria meleagris","Fritillaria meleagris","Fritillaria meleagris","Fritillaria meleagris"
"Fumaria officinalis L. ","Fumaria officinalis","Fumaria officinalis","Fumaria officinalis"
"Fumaria vaillantii Loisel.","Fumaria vaillantii","Fumaria vaillantii","Fumaria vaillantii"
"Gagea lutea","Gagea lutea","Gagea lutea",NA
"Gagea minima","Gagea minima","Gagea minima",NA
"Geum rivale L.","Geum rivale","Geum rivale","Geum rivale"
"Geum urbanum L.","Geum urbanum","Geum urbanum","Geum urbanum"
"Hepatica nobilis","Hepatica nobilis","Hepatica nobilis",NA
"Lamium album L. ","Lamium album","Lamium album","Lamium album"
"Lamium purpureum L. ","Lamium purpureum","Lamium purpureum","Lamium purpureum"
"Lemna  minor","Lemna minor","Lemna minor","Lemna minor"
"Lilium martagon L. ","Lilium martagon","Lilium martagon","Lilium martagon"
"Linaria repens ","Linaria repens","Linaria repens","Linaria repens"
"Linaria vulgaris Mill. ","Linaria vulgaris","Linaria vulgaris","Linaria vulgaris"
"Linnaea borealis L.","Linnaea borealis","Linnaea borealis","Linnaea borealis"
"Linum catharticum","Linum catharticum","Linum catharticum","Linum catharticum"
"Lycopodium clavatum","Lycopodium clavatum","Lycopodium clavatum","Lycopodium clavatum"
"Lysimachia  nummularia L. ","Lysimachia nummularia","Lysimachia nummularia","Lysimachia nummularia"
"Lysimachia  punctata L. ","Lysimachia punctata","Lysimachia punctata","Lysimachia punctata"
"Lysimachia  vulgaris","Lysimachia vulgaris","Lysimachia vulgaris","Lysimachia vulgaris"
"Lysimachia nummularia L. ","Lysimachia nummularia","Lysimachia nummularia","Lysimachia nummularia"
"Lysimachia vulgaris L. ","Lysimachia vulgaris","Lysimachia vulgaris","Lysimachia vulgaris"
"Lythrum salicaria","Lythrum salicaria","Lythrum salicaria","Lythrum salicaria"
"Malus sylvestris ","Malus sylvestris","Malus sylvestris",NA
"Malva alcea","Malva alcea","Malva alcea","Malva alcea"
"Melampyrum cristatum L.","Melampyrum cristatum","Melampyrum cristatum",NA
"Melampyrum nemorosum L.","Melampyrum nemorosum","Melampyrum nemorosum",NA
"Melampyrum pratense L.","Melampyrum pratense","Melampyrum pratense",NA
"Melampyrum sylvaticum L.","Melampyrum sylvaticum","Melampyrum sylvaticum",NA
"Mentha arvensis L.","Mentha arvensis","Mentha arvensis","Mentha arvensis"
"Menyanthes trifoliata L.","Menyanthes trifoliata","Menyanthes trifoliata","Menyanthes trifoliata"
"Nuphar lutea","Nuphar lutea","Nuphar lutea","Nuphar lutea"
"Nymphaea alba L.","Nymphaea alba","Nymphaea alba","Nymphaea alba"
"Ornithogalum angustifolium","Ornithogalum angustifolium","Ornithogalum angustifolium",NA
"Papaver dubium","Papaver dubium","Papaver dubium","Papaver dubium"
"Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia"
"Persicaria maculosa ","Persicaria maculosa","Persicaria maculosa","Persicaria maculosa"
"Persicaria vivipara","Persicaria vivipara","Persicaria vivipara",NA
"Plantago lanceolata L. ","Plantago lanceolata","Plantago lanceolata","Plantago lanceolata"
"Plantago major L.","Plantago major","Plantago major","Plantago major"
"Plantago media ","Plantago media","Plantago media","Plantago media"
"Platanthera chlorantha","Platanthera chlorantha","Platanthera chlorantha",NA
"Polygala vulgaris","Polygala vulgaris","Polygala vulgaris","Polygala vulgaris"
"Polygonum aviculare","Polygonum aviculare","Polygonum aviculare","Polygonum aviculare"
"Potentilla anserina","Potentilla anserina","Potentilla anserina","Potentilla anserina"
"Potentilla argentea L.","Potentilla argentea","Potentilla argentea","Potentilla argentea"
"Potentilla erecta","Potentilla erecta","Potentilla erecta","Potentilla erecta"
"Potentilla fruticosa","Potentilla fruticosa","Potentilla fruticosa",NA
"Potentilla palustre L.","Potentilla palustris","Potentilla palustris",NA
"Potentilla palustris L. ","Potentilla palustris","Potentilla palustris",NA
"Primula farinosa","Primula farinosa","Primula farinosa",NA
"Primula veris","Primula veris","Primula veris","Primula veris"
"Prunella vulgaris L.","Prunella vulgaris","Prunella vulgaris","Prunella vulgaris"
"Pulsatilla vulgaris","Pulsatilla vulgaris","Pulsatilla vulgaris",NA
"Ranunculus acris L.","Ranunculus acris","Ranunculus acris","Ranunculus acris"
"Ranunculus flammula","Ranunculus flammula","Ranunculus flammula","Ranunculus flammula"
"Ranunculus lingua","Ranunculus lingua","Ranunculus lingua",NA
"Ranunculus repens L.","Ranunculus repens","Ranunculus repens","Ranunculus repens"
"Rhinanthus angustifolius","Rhinanthus angustifolius","Rhinanthus angustifolius",NA
"Rhinanthus minor L.","Rhinanthus minor","Rhinanthus minor","Rhinanthus minor"
"Rumex acetosa L.","Rumex acetosa","Rumex acetosa","Rumex acetosa"
"Rumex acetosella L.","Rumex acetosella","Rumex acetosella","Rumex acetosella"
"Rumex crispus L.","Rumex crispus","Rumex crispus","Rumex crispus"
"Rumex longifolius L.","Rumex longifolius","Rumex longifolius","Rumex longifolius"
"Rumexmeno acetosa L.",NA,NA,NA
"Scutellaria galericulata L.","Scutellaria galericulata","Scutellaria galericulata","Scutellaria galericulata"
"Stachys palustris","Stachys palustris","Stachys palustris","Stachys palustris"
"Syringa vulgaris L.","Syringa vulgaris","Syringa vulgaris","Syringa vulgaris"
"Thymus serpyllum","Thymus serpyllum","Thymus serpyllum",NA
"Trientalis europaea","Trientalis europaea","Trientalis europaea","Trientalis europaea"
"Tulipa gesneriana","Tulipa gesneriana","Tulipa gesneriana","Tulipa gesneriana"
"Veronica agrestis","Veronica agrestis","Veronica agrestis","Veronica agrestis"
"Veronica arvensis","Veronica arvensis","Veronica arvensis","Veronica arvensis"
"Veronica beccabunga","Veronica beccabunga","Veronica beccabunga","Veronica beccabunga"
"Veronica chamaedrys L.","Veronica chamaedrys","Veronica chamaedrys","Veronica chamaedrys"
"Veronica officinalis","Veronica officinalis","Veronica officinalis","Veronica officinalis"
"Veronica serpylifolia","Veronica serpyllifolia","Veronica serpyllifolia","Veronica serpyllifolia"
"Veronica spicata L. ","Veronica spicata","Veronica spicata","Veronica spicata"
"Veronica verna","Veronica verna","Veronica verna","Veronica verna"
"Acer platanoides L.","Acer platanoides","Acer platanoides","Acer platanoides"
"Galium album Mill.","Galium album","Galium album","Galium album"
"Galium boreale L.","Galium boreale","Galium boreale","Galium boreale"
"Galium palustre","Galium palustre","Galium palustre","Galium palustre"
"Galium uliginosum L. ","Galium uliginosum","Galium uliginosum","Galium uliginosum"
"Galium verum L.","Galium verum","Galium verum","Galium verum"
"Lathraea squamaria","Lathraea squamaria","Lathraea squamaria",NA
"Odontites vulgaris Moench","Odontites vulgaris","Odontites vulgaris","Odontites vulgaris"
"Paris quadrifolia L.","Paris quadrifolia","Paris quadrifolia",NA
"Populus tremula L.","Populus tremula","Populus tremula","Populus tremula"
"Potentilla reptans L.","Potentilla reptans","Potentilla reptans","Potentilla reptans"
"Prunus padus L.","Prunus padus","Prunus padus","Prunus padus"
"Rosa canina L.","Rosa canina","Rosa canina","Rosa canina"
"Rosa dumalis Bechst.","Rosa dumalis","Rosa dumalis",NA
"Rosa mollis Sm. ","Rosa mollis","Rosa mollis","Rosa mollis"
"Rosa rugosa Thunberg.","Rosa rugosa","Rosa rugosa","Rosa rugosa"
"Rosa villosa","Rosa villosa","Rosa villosa","Rosa villosa"
"Saxifraga cespitosa","Saxifraga cespitosa","Saxifraga cespitosa","Saxifraga cespitosa"
"Saxifraga granulata L.","Saxifraga granulata","Saxifraga granulata",NA
"Solanum dulcamara","Solanum dulcamara","Solanum dulcamara","Solanum dulcamara"
"Sorbus  aucuparia L.","Sorbus aucuparia","Sorbus aucuparia","Sorbus aucuparia"
"Urtica dioica L.","Urtica dioica","Urtica dioica","Urtica dioica"
"Verbascum  lychnitis L. ","Verbascum lychnitis","Verbascum lychnitis","Verbascum lychnitis"
"Verbascum  thapsus L.","Verbascum thapsus","Verbascum thapsus","Verbascum thapsus"
"Veronica officinalis L.","Veronica officinalis","Veronica officinalis","Veronica officinalis"
"Viola arvensis Murray.","Viola arvensis","Viola arvensis","Viola arvensis"
"Viola hirta","Viola hirta","Viola hirta",NA
"Viola odorata","Viola odorata","Viola odorata","Viola odorata"
"Viola riviniana","Viola riviniana","Viola riviniana",NA
"Viola tricolor L.","Viola tricolor","Viola tricolor","Viola tricolor"
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
